Apartment_id,host,Country,City,Address,num_guests,num_beds,num_bathrooms,Property_Type,amenities,house_rules,price
30,jblanckley15@privacy.gov.au,Syria,As Sukhnah,136 Butternut Avenue,1,1,1,Apartment,Free Wifi/Washing Machine and Dryer,No Smoking,133
31,kpignyv@photobucket.com,Belarus,Radashkovichy,5064 Melrose Junction,7,7,3,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking/No Pets,504
32,kpignyv@photobucket.com,Colombia,Cajicá,23736 Crownhardt Avenue,3,3,1,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking/No Pets,102
33,ekibblewhites@npr.org,Greece,Vokhaïkó,76 Ridgeview Street,3,3,1,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking/No Pets,818
34,rgianasi1d@comsenz.com,China,Zoushi,240 Pankratz Terrace,6,6,3,Bungalow,Free Wifi/Parking/Washing Machine and Dryer,No Pets,173
35,scausey1c@sciencedirect.com,Brazil,Goiás,90837 Marcy Road,8,9,4,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,675
36,rfenneyy@toplist.cz,Denmark,København,912 Alpine Circle,4,5,2,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Pets,536
37,lcrevy4@state.tx.us,Indonesia,Batudulang,66559 Anderson Court,4,5,2,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,110
38,kleningb@ezinearticles.com,Russia,Zavolzh’ye,39 Ridgeway Drive,6,6,3,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,549
39,ilistonei@wordpress.com,Russia,Nyazepetrovsk,1530 Arkansas Trail,10,10,5,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,146
40,gkarpol19@wikispaces.com,Philippines,Lianga,4 Sycamore Hill,4,5,2,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking,869
41,gkarpol19@wikispaces.com,Colombia,Patía,53 Paget Alley,9,9,4,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Pets,593
42,cedgeg@360.cn,Madagascar,Ambalavao,61471 Ruskin Alley,2,3,1,Apartment,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,139
43,mplya@google.de,China,Chendong,733 Mariners Cove Junction,4,5,2,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Smoking,786
44,eorhth@histats.com,Japan,Ono,4 Hudson Road,5,6,2,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,105
45,icarinef@loc.gov,Indonesia,Ciilat,2783 Crescent Oaks Court,10,11,5,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Pets,135
46,ekibblewhites@npr.org,Russia,Gigant,53885 Hoepker Junction,1,2,1,Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking/No Pets,117
47,jblanckley15@privacy.gov.au,Brazil,Carangola,41 Roxbury Avenue,8,8,4,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Smoking,584
48,jmcpheate@prlog.org,China,Zhongxiang,381 Schlimgen Court,8,9,4,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking,194
49,aswancott7@elegantthemes.com,Russia,Verkhniy Kurkuzhin,23005 Prairie Rose Trail,9,9,4,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking,173
50,jblanckley15@privacy.gov.au,Argentina,Achiras,06 Granby Point,7,7,3,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,169
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
